Info: [VCS_SAVE_RESTORE_INFO] ASLR (Address Space Layout Randomization) is detected on the machine. To enable $save functionality, ASLR will be switched off and simv re-executed.
Please use '-no_save' simv switch to avoid re-execution or '-suppress=ASLR_DETECTED_INFO' to suppress this message.
Chronologic VCS simulator copyright 1991-2024
Contains Synopsys proprietary information.
Compiler version W-2024.09_Full64; Runtime version W-2024.09_Full64;  Dec  1 23:39 2025
Time: 0 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000000000
Time: 20 | Mode: 00 | Start: 1 | Stop: 0 | Counter Output: 00000000000
Time: 30 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000000000
Time: 35 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000000001
Time: 45 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000000010
Time: 55 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000000011
Time: 65 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000000100
Time: 75 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000000101
Time: 85 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000000110
Time: 95 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000000111
Time: 105 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000001000
Time: 115 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000001001
Time: 125 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000001010
Time: 135 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000001011
Time: 145 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000001100
Time: 155 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000001101
Time: 165 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000001110
Time: 175 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000001111
Time: 185 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000010000
Time: 195 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000010001
Time: 205 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000010010
Time: 215 | Mode: 00 | Start: 0 | Stop: 0 | Counter Output: 00000010011
